sg_uf	nm_municipio	cd_cargo	ds_cargo	nr_candidato	nm_candidato	nm_urna_candidato	sg_partido	ds_composicao_coligacao	nr_turno	ds_sit_totalizacao	nm_tipo_destinacao_votos	dt_ult_totalizacao	pc_votos_validos	Ano	qt_votos_nom_validos	qt_votos_concorrentes
PA	ABAETETUBA	1	Presidente	13	DILMA VANA ROUSSEFF	DILMA	PT	PT / PMDB / PSD / PP / PR / PROS / PDT / PC do B / PRB	1	Segundo turno	#NE	30/01/2019 15:12	0,7134	2014	56350	78989
PA	ABAETETUBA	1	Presidente	45	AÉCIO NEVES DA CUNHA	AÉCIO NEVES	PSDB	PSDB / PMN / SD / DEM / PEN / PTN / PTB / PTC / PT do B	1	Segundo turno	#NE	30/01/2019 15:12	0,1852	2014	14630	78989
PA	ABAETETUBA	1	Presidente	40	MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA	MARINA SILVA	PSB	PHS / PRP / PPS / PPL / PSB / PSL	1	Não Eleito	#NE	30/01/2019 15:12	0,0843	2014	6657	78989
PA	ABAETETUBA	1	Presidente	20	EVERALDO DIAS PEREIRA	PASTOR EVERALDO	PSC	PSC	1	Não Eleito	#NE	30/01/2019 15:12	0,007	2014	552	78989
PA	ABAETETUBA	1	Presidente	50	LUCIANA KREBS GENRO	LUCIANA GENRO	PSOL	PSOL	1	Não Eleito	#NE	30/01/2019 15:12	0,0062	2014	487	78989
PA	ABAETETUBA	1	Presidente	43	EDUARDO JORGE MARTINS ALVES SOBRINHO	EDUARDO JORGE	PV	PV	1	Não Eleito	#NE	30/01/2019 15:12	0,0021	2014	166	78989
PA	ABAETETUBA	1	Presidente	28	JOSÉ LEVY FIDELIX DA CRUZ	LEVY FIDELIX	PRTB	PRTB	1	Não Eleito	#NE	30/01/2019 15:12	0,0012	2014	95	78989
PA	ABAETETUBA	1	Presidente	16	JOSÉ MARIA DE ALMEIDA	ZÉ MARIA	PSTU	PSTU	1	Não Eleito	#NE	30/01/2019 15:12	0,0003	2014	27	78989
PA	ABAETETUBA	1	Presidente	27	JOSE MARIA EYMAEL	EYMAEL	PSDC	PSDC	1	Não Eleito	#NE	30/01/2019 15:12	0,0002	2014	17	78989
PA	ABAETETUBA	1	Presidente	21	MAURO LUÍS IASI	MAURO IASI	PCB	PCB	1	Não Eleito	#NE	30/01/2019 15:12	0,0001	2014	7	78989
PA	ABAETETUBA	1	Presidente	29	RUI COSTA PIMENTA	RUI COSTA PIMENTA	PCO	PCO	1	Não Eleito	#NE	30/01/2019 15:12	0	2014	1	78989
