id;sg_uf;nm_municipio;cd_cargo;ds_cargo;nr_candidato;nm_candidato;nm_urna_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_totalizacao;nm_tipo_destinacao_votos;dt_ult_totalizacao;pc_votos_validos;Ano;qt_votos_nom_validos;qt_votos_concorrentes;latitude;longitude
pa-belem-2024-15-csv-import;PA;Belém;11;Prefeito;15;"IGOR WANDERLEY NORMANDO";"IGOR NORMANDO";MDB;"MDB / PSD / PSB / PDT / UNIAO";1;ELEITO;VÁLIDO;06/10/2024;44.89;2024;359012;799754;-1.4558;-48.4902
pa-belem-2024-22-csv-import;PA;Belém;11;Prefeito;22;"EVALDO ZEQUINHA DOS SANTOS";"ÉDER MAURO";PL;"PL / PP";1;"NÃO ELEITO";VÁLIDO;06/10/2024;31.48;2024;251803;799754;-1.4558;-48.4902
pa-belem-2024-50-csv-import;PA;Belém;11;Prefeito;50;"EDMILSON BRITO RODRIGUES";"EDMILSON RODRIGUES";PSOL;"PSOL / REDE / PT / PCdoB / PV";1;"NÃO ELEITO";VÁLIDO;06/10/2024;9.78;2024;78258;799754;-1.4558;-48.4902
pa-belem-2024-44-csv-import;PA;Belém;11;Prefeito;44;"THIAGO PEREIRA ARAUJO";"THIAGO ARAÚJO";REPUBLICANOS;"REPUBLICANOS / DC / PMN";1;"NÃO ELEITO";VÁLIDO;06/10/2024;7.72;2024;61773;799754;-1.4558;-48.4902
pa-belem-2020-50-csv-import;PA;Belém;11;Prefeito;50;"EDMILSON BRITO RODRIGUES";"EDMILSON RODRIGUES";PSOL;"PSOL / PT / PCdoB / PDT / REDE";1;ELEITO;VÁLIDO;15/11/2020;51.76;2020;390723;754800;-1.4558;-48.4902
pa-belem-2020-55-csv-import;PA;Belém;11;Prefeito;55;"JOSE PRIANTE JUNIOR";PRIANTE;MDB;"MDB / DEM / PSC / PL / PTB";1;"NÃO ELEITO";VÁLIDO;15/11/2020;17.03;2020;128549;754800;-1.4558;-48.4902
pa-ananindeua-2024-15-csv-import;PA;Ananindeua;11;Prefeito;15;"DANIEL BARBOSA SANTOS";"DR. DANIEL";PSB;"PSB / MDB / UNIAO / PP / PODE";1;ELEITO;VÁLIDO;06/10/2024;83.48;2024;237248;284196;-1.3656;-48.3719
pa-ananindeua-2024-13-csv-import;PA;Ananindeua;11;Prefeito;13;"MIRO SANTO SILVA";"MIRO SANTO";PT;"PT / PCdoB / PV";1;"NÃO ELEITO";VÁLIDO;06/10/2024;9.21;2024;26174;284196;-1.3656;-48.3719
pa-santarem-2024-15-csv-import;PA;Santarém;11;Prefeito;15;"JOSE MARIA TAPAJOS";"ZE MARIA TAPAJÓS";MDB;"MDB / PP / PSD / PT / PSB";1;ELEITO;VÁLIDO;06/10/2024;52.11;2024;98450;188920;-2.4431;-54.7083
pa-santarem-2024-22-csv-import;PA;Santarém;11;Prefeito;22;"JUSCELINO KUBITSCHEK CAMPOS";"JK DO POVÃO";PL;"PL / PRD";1;"NÃO ELEITO";VÁLIDO;06/10/2024;43.19;2024;81594;188920;-2.4431;-54.7083
pa-maraba-2024-15-csv-import;PA;Marabá;11;Prefeito;15;"ANTONIO TONI CUNHA";"TONI CUNHA";PL;"PL / NOVO / PP";1;ELEITO;VÁLIDO;06/10/2024;51.04;2024;74812;146580;-5.3686;-49.1174
pa-maraba-2024-11-csv-import;PA;Marabá;11;Prefeito;11;"CHAMON BIZARRA JUNIOR";"CHAMON JUNIOR";MDB;"MDB / PSD / PSB / PT";1;"NÃO ELEITO";VÁLIDO;06/10/2024;45.18;2024;66224;146580;-5.3686;-49.1174
pa-parauapebas-2024-44-csv-import;PA;Parauapebas;11;Prefeito;44;"AURELIO GOIANO";"AURÉLIO GOIANO";AVANTE;"AVANTE / PL / PRD";1;ELEITO;VÁLIDO;06/10/2024;58.52;2024;92105;157390;-6.0678;-49.9019
pa-parauapebas-2024-15-csv-import;PA;Parauapebas;11;Prefeito;15;"RAFAEL RIBEIRO DA SILVA";"RAFAEL RIBEIRO";MDB;"MDB / PP / PSB / PT / UNIAO";1;"NÃO ELEITO";VÁLIDO;06/10/2024;36.14;2024;56880;157390;-6.0678;-49.9019
pa-belem-2024-ver-15100-csv-import;PA;Belém;13;Vereador;15100;"SILVIO MARCIO SILVA";"SILVIO DOURADO";MDB;MDB;1;"ELEITO POR QP";VÁLIDO;06/10/2024;1.85;2024;14780;799754;-1.4558;-48.4902
pa-belem-2024-ver-50123-csv-import;PA;Belém;13;Vereador;50123;"BIA CAMINHA OLIVEIRA";"BIA CAMINHA";PT;"PT / PCdoB / PV";1;"ELEITO POR MEDIA";VÁLIDO;06/10/2024;1.42;2024;11354;799754;-1.4558;-48.4902
pa-belem-2024-ver-22000-csv-import;PA;Belém;13;Vereador;22000;"RODRIGO MORAES MATOS";"DELEGADO RODRIGO";PL;PL;1;"ELEITO POR QP";VÁLIDO;06/10/2024;1.31;2024;10477;799754;-1.4558;-48.4902
